Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE0009248,"STUD;120174,KSB;200 HV,M16,45MM,A4-70",641,TF to stck in trans.,6/25/2023,,-31,EA,-31,EA,0,PEN,4908901311,11,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,110,C601,6/26/2023,,,
AE0009248,"STUD;120174,KSB;200 HV,M16,45MM,A4-70",641,TF to stck in trans.,6/25/2023,,31,EA,31,EA,0,PEN,4908901311,12,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,110,C601,6/26/2023,,,
AE0009249,"STUD;120165,KSB;M12,90MM,A4-70",641,TF to stck in trans.,6/25/2023,,21,EA,21,EA,0,PEN,4908901311,14,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,120,C601,6/26/2023,,,
AE0009249,"STUD;120165,KSB;M12,90MM,A4-70",641,TF to stck in trans.,6/25/2023,,-21,EA,-21,EA,0,PEN,4908901311,13,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,120,C601,6/26/2023,,,
AE0009274,"O RNG;371081,KSB;160MM,4MM,FKM 80",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901311,6,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,80,C601,6/26/2023,,,
AE0009274,"O RNG;371081,KSB;160MM,4MM,FKM 80",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901311,5,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,80,C601,6/26/2023,,,
AE0009275,"O RNG;116059,KSB;44.12MM,2.62MM,FKM 80",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901311,8,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,90,C601,6/26/2023,,,
AE0009275,"O RNG;116059,KSB;44.12MM,2.62MM,FKM 80",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901311,7,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,90,C601,6/26/2023,,,
AE0009276,"O RNG;372759,KSB;234.54MM,3.53MM,FKM 80",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901311,10,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,100,C601,6/26/2023,,,
AE0009276,"O RNG;372759,KSB;234.54MM,3.53MM,FKM 80",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901311,9,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,100,C601,6/26/2023,,,
AE0009328,"SEAL;290633,KSB;55X80X8,FKM 80",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140444,2,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,180,C601,6/25/2023,,,
AE0009332,"PLUG;1038066,KSB;SCREWED,G1 A,1.4539",101,GR stock in transit,6/25/2023,,3,EA,3,EA,0,PEN,5005140444,3,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,190,C601,6/25/2023,,,
AE0009334,"PLUG;264689,KSB;A,3/8-18 NPT,A4",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140444,4,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,200,C601,6/25/2023,,,
